Bellek Hçzç,Cihaz Aßçrlçßç,Ekran Boyutu,Ekran Kartç Bellek Tipi,Ekran Kartç Hafçzasç,Ekran Kartç Tipi,Ekran Panel Tipi,òülemci Nesli,òülemci,òületim Sistemi,Kart Okuyucu,Aydçnlatma,Maksimum òülemci Hçzç,Max Ekran ÄîzÅnÅrlÅßÅ,Parmak òzi Okuyucu,Ram (Sistem Belleßi),SSD Kapasitesi,örÅn Modeli,Fiyat
4800 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,13.Nesil,6800H,Yok (Free Dos),Yok,1,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,Orta
4800 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,13.Nesil,6800H,Yok (Free Dos),Yok,1,4,7 GHz,1920 x 1080,Yok,16 GB,1 TB,Oyun Bilgisayarlarç,Orta
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,6 GB,Harici Ekran Kartç,IPS,13.Nesil,13700H,Windows 11 Home,Var,1,5 GHz,1920 x 1080,Yok,64 GB,2 TB,Oyun Bilgisayarlarç,Äok YÅksek
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,6 GB,Harici Ekran Kartç,IPS,13.Nesil,13620H,Yok (Free Dos),Var,1,4,9 GHz,1920 x 1080,Yok,32 GB,512 GB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,6 GB,Harici Ekran Kartç,IPS,13.Nesil,13700H,Windows 11 Home,Var,1,5 GHz,1920 x 1080,Yok,64 GB,2 TB,Oyun Bilgisayarlarç,Äok YÅksek
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,6 GB,Harici Ekran Kartç,IPS,13.Nesil,13700H,Windows 11 Home,Var,1,5 GHz,1920 x 1080,Yok,64 GB,2 TB,Oyun Bilgisayarlarç,Äok YÅksek
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,6 GB,Harici Ekran Kartç,IPS,13.Nesil,13700H,Windows 11 Home,Var,1,5 GHz,1920 x 1080,Yok,32 GB,1 TB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,6 GB,Harici Ekran Kartç,IPS,13.Nesil,13620H,Windows 11 Home,Var,1,4,9 GHz,1920 x 1080,Yok,32 GB,2 TB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,6 GB,Harici Ekran Kartç,IPS,13.Nesil,13700H,Yok (Free Dos),Var,0,5 GHz,1920 x 1080,Yok,16 GB,1 TB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,6 GB,Harici Ekran Kartç,IPS,13.Nesil,13700H,Yok (Free Dos),Var,0,5 GHz,1920 x 1080,Yok,16 GB,1 TB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,13.Nesil,13500H,Yok (Free Dos),Var,1,4,7 GHz,1920 x 1080,Yok,8 GB,512 GB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,13.Nesil,13500H,Windows 11 Home,Var,0,4,7 GHz,1920 x 1080,Yok,8 GB,500 GB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,13.Nesil,13700H,Windows 11 Home,Var,0,5 GHz,1920 x 1080,Yok,16 GB,500 GB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,13.Nesil,13700H,Yok (Free Dos),Var,0,5 GHz,1920 x 1080,Yok,16 GB,1 TB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,6 GB,Harici Ekran Kartç,IPS,13.Nesil,,Yok (Free Dos),Var,1,4,9 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,13.Nesil,,Yok (Free Dos),Var,1,4,9 GHz,1920 x 1080,Yok,64 GB,1 TB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,6 GB,Dahili Ekran Kartç,IPS,13.Nesil,13700H,Yok (Free Dos),Var,0,5 GHz,1920 x 1080,,16 GB,1 TB,Oyun Bilgisayarlarç,Orta
4800 MHz,2 - 4 kg,15,6 iná,GDDR6,6 GB,Harici Ekran Kartç,IPS,13.Nesil,13650HX,Windows 11 Home,,0,4,9 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,Äok YÅksek
4800 MHz,2 - 4 kg,16 iná,GDDR6,6 GB,Harici Ekran Kartç,IPS,13.Nesil,13650HX,Yok (Free Dos),Yok,0,4,9 GHz,1920 x 1200,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,Äok YÅksek
5200 MHz,2 - 4 kg,16,1 iná,GDDR6,6 GB,Harici Ekran Kartç,IPS,13.Nesil,13700H,Yok (Free Dos),Yok,0,5 GHz,1920 x 1080,Yok,32 GB,1 TB,Oyun Bilgisayarlarç,YÅksek
5200 MHz,2 - 4 kg,16,1 iná,GDDR6,6 GB,Harici Ekran Kartç,IPS,13.Nesil,13500H,Yok (Free Dos),Yok,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,Orta
5200 MHz,2 - 4 kg,16,1 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,13.Nesil,13500H,Yok (Free Dos),,0,4,7 GHz,1920 x 1080,Yok,16 GB,1 TB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,17,3 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,13.Nesil,13500H,Windows 11 Home,Var,0,4,7 GHz,1920 x 1080,Yok,8 GB,500 GB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,2 - 4 kg,17,3 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,13.Nesil,13500H,Windows 11 Home,Var,0,4,7 GHz,1920 x 1080,Yok,8 GB,500 GB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,2 - 4 kg,17,3 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,13.Nesil,13700H,Windows 11 Home,Var,0,5 GHz,1920 x 1080,Yok,32 GB,1 TB,Oyun Bilgisayarlarç,Äok YÅksek
4800 MHz,2 - 4 kg,15,6 iná,GDDR6,8 GB,YÅksek Seviye Harici Ekran Kartç,IPS,13.Nesil,13500HX,Windows 11 Home,Var,0,4,7 GHz,1920 x 1080,Yok,32 GB,1 TB,Oyun Bilgisayarlarç,YÅksek
4800 MHz,2 - 4 kg,15,6 iná,GDDR6,8 GB,YÅksek Seviye Harici Ekran Kartç,IPS,13.Nesil,13500HX,Yok (Free Dos),Var,0,4,7 GHz,1920 x 1080,Yok,16 GB,500 GB,Oyun Bilgisayarlarç,YÅksek
4800 MHz,2 - 4 kg,15,6 iná,GDDR6,8 GB,YÅksek Seviye Harici Ekran Kartç,WVA,13.Nesil,13900HX,Windows 11 Home,Yok,1,5,4 GHz,1920 x 1080,Yok,64 GB,1 TB,Oyun Bilgisayarlarç,Äok YÅksek
4800 MHz,2 - 4 kg,15,6 iná,GDDR6,8 GB,Harici Ekran Kartç,IPS,13.Nesil,13650HX,Windows 11 Home,,0,4,9 GHz,1920 x 1080,Yok,16 GB,1 TB,Oyun Bilgisayarlarç,Äok YÅksek
4800 MHz,2 kg ve Altç,15,6 iná,GDDR6,8 GB,YÅksek Seviye Harici Ekran Kartç,IPS,13.Nesil,13900H,Yok (Free Dos),Var,1,5,4 GHz,1920 x 1080,Yok,64 GB,1 TB,Notebook,Äok YÅksek
4800 MHz,2 - 4 kg,16 iná,GDDR6X,8 GB,YÅksek Seviye Harici Ekran Kartç,IPS,13.Nesil,13900HX,Yok (Free Dos),Yok,1,5,4 GHz,2560 x 1600,Yok,32 GB,1 TB,Oyun Bilgisayarlarç,Äok YÅksek
4800 MHz,2 - 4 kg,16 iná,GDDR6,8 GB,YÅksek Seviye Harici Ekran Kartç,WVA,13.Nesil,13900HX,Windows 11 Home,Yok,1,5,4 GHz,2560 x 1600,Yok,64 GB,2 TB,Oyun Bilgisayarlarç,Äok YÅksek
4800 MHz,2 - 4 kg,16 iná,GDDR6,8 GB,Harici Ekran Kartç,IPS,13.Nesil,13650HX,Windows 11 Home,,0,4,9 GHz,2560 x 1600,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,Äok YÅksek
4800 MHz,2 - 4 kg,17 iná,GDDR6,8 GB,Harici Ekran Kartç,TN,13.Nesil,13700HX,Windows 11 Pro,Var,1,5,5 Ghz,2560 x 1600,Var,64 GB,2 TB,Notebook,Äok YÅksek
4800 MHz,2 - 4 kg,17 iná,GDDR6,8 GB,Harici Ekran Kartç,TN,13.Nesil,13700HX,Windows 11 Pro,Var,1,5,5 Ghz,2560 x 1600,Var,64 GB,2 TB,Notebook,Äok YÅksek
3200 MHz,2 - 4 kg,17,3 iná,GDDR6,8 GB,YÅksek Seviye Harici Ekran Kartç,IPS,13.Nesil,13700H,Yok (Free Dos),Var,0,5 GHz,1920 x 1080,Yok,16 GB,1 TB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,2 - 4 kg,17,3 iná,GDDR6,8 GB,YÅksek Seviye Harici Ekran Kartç,IPS,13.Nesil,13700H,Yok (Free Dos),Var,0,5 GHz,1920 x 1080,Yok,16 GB,500 GB,Oyun Bilgisayarlarç,Äok YÅksek
4800 MHz,2 - 4 kg,17,3 iná,GDDR6,8 GB,YÅksek Seviye Harici Ekran Kartç,TN,13.Nesil,13700H,Windows 11 Home,Yok,1,5 GHz,1920 x 1080,Yok,32 GB,1 TB,Oyun Bilgisayarlarç,Äok YÅksek
4800 MHz,2 - 4 kg,17,3 iná,GDDR6,8 GB,YÅksek Seviye Harici Ekran Kartç,IPS,13.Nesil,13700HX,Yok (Free Dos),Yok,1,5 GHz,1920 x 1080,Yok,32 GB,1 TB,Oyun Bilgisayarlarç,Äok YÅksek
4800 MHz,2 - 4 kg,17,3 iná,GDDR6,8 GB,YÅksek Seviye Harici Ekran Kartç,IPS,13.Nesil,13700HX,Yok (Free Dos),Yok,1,5 GHz,1920 x 1080,Yok,32 GB,1 TB,Oyun Bilgisayarlarç,Äok YÅksek
4800 MHz,2 - 4 kg,18 iná,GDDR6,8 GB,YÅksek Seviye Harici Ekran Kartç,IPS,13.Nesil,13980HX,Yok (Free Dos),Yok,0,5,6 GHz,2560 x 1600,Yok,64 GB,1 TB,Oyun Bilgisayarlarç,Äok YÅksek
5200 MHz,2 - 4 kg,16,1 iná,GDDR6,,Harici Ekran Kartç,IPS,13.Nesil,13700H,Yok (Free Dos),,0,3,7 GHz,1920 x 1080,Yok,16 GB,1 TB,Oyun Bilgisayarlarç,Äok YÅksek
,1 - 2 kg,16 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,13.Nesil,13900H,Windows 11 Home,Yok,0,5,4 GHz,2520 x 1680,Var,16 GB,1 TB,Notebook,YÅksek
2400 MHz,2 kg ve Altç,15,6 iná,Onboard,,Dahili Ekran Kartç,TN,3.Nesil,3700U,Yok (Free Dos),Var,0,4 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
2400 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,3.Nesil,3250U,Windows 11 Home,Var,0,3,5 GHz,1366 x 768,Yok,4 GB,256 GB,Notebook,Äok DÅüÅk
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,3.Nesil,3700U,Yok (Free Dos),Var,0,4 GHz,1920 x 1080,Var,8 GB,512 GB,Notebook,DÅüÅk
,,14,1 iná,,,Dahili Ekran Kartç,TN,4.Nesil,Celeron N4020,Windows 11 Home,,0,2,8 GHz,1366 x 768,,4 GB,128 GB,Notebook,Äok DÅüÅk
3200 MHz,2 - 4 kg,14 iná,GDDR6,Paylaüçmlç,Dahili Ekran Kartç,LED,4.Nesil,AMD Ryzen 5,Yok (Free Dos),Yok,0,4 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
2400 MHz,1 - 2 kg,14,1 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,4.Nesil,N4020,Yok (Free Dos),Var,0,1,1 GHz,1366 x 768,,8 GB,256 GB,Notebook,Äok DÅüÅk
2400 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,4.Nesil,N4120,Windows 11 Home,Var,0,2,6 GHz,1366 x 768,Yok,4 GB,256 GB,Notebook,Äok DÅüÅk
2666 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,LED,4.Nesil,N4120,Windows 11 Home,,0,2,6 GHz,1366 x 768,,4 GB,,Notebook,Äok DÅüÅk
2933 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,4.Nesil,,Yok (Free Dos),Var,0,2,8 GHz,1366 x 768,Yok,4 GB,128 GB,Notebook,Äok DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,4.Nesil,N4120,Windows 11 Home,Var,0,2,6 GHz,1366 x 768,Yok,4 GB,0 GB,Notebook,Äok DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,4.Nesil,N4120,Windows 11 Home,Var,0,2,6 GHz,1366 x 768,Yok,4 GB,0 GB,Notebook,Äok DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,4.Nesil,N4120,Windows 11 Home,Var,0,2,6 GHz,1366 x 768,Yok,4 GB,256 GB,Notebook,Äok DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,4.Nesil,N4120,Windows 11 Home,Var,0,2,6 GHz,1366 x 768,Yok,4 GB,256 GB,Notebook,Äok DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,4.Nesil,N4120,Windows 11 Home,Var,0,2,6 GHz,1366 x 768,Yok,4 GB, 0 GB,Notebook,Äok DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,4.Nesil,N4120,Windows 11 Home,Var,0,2,6 GHz,1366 x 768,Yok,4 GB,128 GB,Notebook,Äok DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,4.Nesil,N4120,Windows 11 Home,Var,0,2,6 GHz,1366 x 768,Yok,4 GB,0 GB,Notebook,Äok DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,4.Nesil,N4120,Windows 11 Home,Var,0,2,6 GHz,1366 x 768,Yok,4 GB,0 GB,Notebook,Äok DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,4.Nesil,N4120,Windows 11 Home,Var,0,2,6 GHz,1366 x 768,Yok,4 GB,0 GB,Notebook,Äok DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,5.Nesil,5600H,Windows 11 Home,Yok,0,4,2 GHz,1920 x 1080,Yok,32 GB,1 TB,Oyun Bilgisayarlarç,Orta
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,5.Nesil,5800H,Yok (Free Dos),Var,0,4,4 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,5.Nesil,5600H,Windows 11 Home,Yok,0,4,2 GHz,1920 x 1080,Yok,32 GB,1 TB,Oyun Bilgisayarlarç,Orta
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,5.Nesil,5600H,Windows 11 Home,Yok,0,4,2 GHz,1920 x 1080,Yok,32 GB,1 TB,Oyun Bilgisayarlarç,Orta
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,5.Nesil,5800H,Windows 11 Pro,Var,1,4,4 GHz,1920 x 1080,Yok,32 GB,2 TB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,5.Nesil,5600H,Yok (Free Dos),Yok,1,4,2 GHz,1920 x 1080,Yok,32 GB,1 TB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,5.Nesil,5600H,Yok (Free Dos),Yok,0,4,2 GHz,1920 x 1080,Yok,8 GB,512 GB,Oyun Bilgisayarlarç,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,5.Nesil,5600H,Yok (Free Dos),Yok,0,4,2 GHz,1920 x 1080,Yok,8 GB,512 GB,Oyun Bilgisayarlarç,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,5.Nesil,5600H,Yok (Free Dos),Yok,1,4,2 GHz,1920 x 1080,Yok,8 GB,512 GB,Oyun Bilgisayarlarç,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,Dahili Ekran Kartç,IPS,5.Nesil,5600H,Yok (Free Dos),Var,0,4,2 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,5.Nesil,5600H,Windows 11 Home,Yok,1,4,2 GHz,1920 x 1080,Yok,64 GB,512 GB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,5.Nesil,5600H,Windows 11 Home,Yok,1,4,2 GHz,1920 x 1080,Yok,32 GB,2 TB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,5.Nesil,5600H,Yok (Free Dos),Yok,1,4,2 GHz,1920 x 1080,Yok,64 GB,512 GB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,5.Nesil,5600H,Windows 11 Home,Yok,1,4,2 GHz,1920 x 1080,Yok,64 GB,2 TB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,,IPS,5.Nesil,T5600,Yok (Free Dos),,0,4,2 GHz,1920 x 1080,,8 GB,256 GB,Notebook,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,5.Nesil,5600H,Yok (Free Dos),,0,4,2 GHz,1920 x 1080,,16 GB,512 GB,Oyun Bilgisayarlarç,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,5.Nesil,5800H,Yok (Free Dos),,0,4,4 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,5.Nesil,5800H,Yok (Free Dos),Yok,1,4,4 GHz,1920 x 1080,,16 GB,512 GB,Oyun Bilgisayarlarç,Orta
3200 MHz,1 - 2 kg,16 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,5.Nesil,5800H,Yok (Free Dos),Var,0,4,4 GHz,2560 x 1600,Yok,16 GB,512 GB,Notebook,Orta
3200 MHz,2 - 4 kg,16,1 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,5.Nesil,5600H,Yok (Free Dos),Var,1,4,2 GHz,1920 x 1080,Yok,16 GB,2 TB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,16,1 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,5.Nesil,5800H,Windows 11 Home,Var,1,4,4 GHz,1920 x 1080,Yok,32 GB,1 TB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,16,1 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,5.Nesil,5600H,Windows 11 Home,Var,0,4,2 GHz,1920 x 1080,Yok,32 GB,1 TB,Oyun Bilgisayarlarç,Orta
4800 MHz,2 - 4 kg,16,1 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,5.Nesil,12500H,Yok (Free Dos),Var,1,4,2 GHz,1920 x 1080,,8 GB,512 GB,Oyun Bilgisayarlarç,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,5.Nesil,5600H,Yok (Free Dos),Yok,0,4,2 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,5.Nesil,5600H,Yok (Free Dos),Yok,0,4,2 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,6 GB,Harici Ekran Kartç,IPS,5.Nesil,5600H,Yok (Free Dos),,0,4,2 GHz,1920 x 1080,,16 GB,1 TB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,,,Harici Ekran Kartç,IPS,5.Nesil,5600H,Yok (Free Dos),Var,0,4,2 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,,,,WVA,5.Nesil,5500U,Windows 11 Home,,0,4,0 GHz,1920 x 1080,,8 GB,256 GB,Notebook,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,,,,WVA,5.Nesil,5500U,Windows 11 Home,,0,4,0 GHz,1920 x 1080,,8 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,5.Nesil,5500U,Windows 10 Home,Yok,0,4 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,Äok DÅüÅk
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,5.Nesil,5500U,Windows 10 Home,Yok,0,4 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,Äok DÅüÅk
3200 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,5.Nesil,5625U,Yok (Free Dos),Yok,1,4,3 GHz,1920 x 1080,Yok,32 GB,1 TB,Notebook,DÅüÅk
4266 MHz,1 - 2 kg,14 iná,,Paylaüçmlç,Dahili Ekran Kartç,IPS,5.Nesil,5500U,Windows 11 Home,Var,0,4,0 GHz,1920 x 1200,Yok,8 GB,512 GB,òkisi Bir Arada,DÅüÅk
,1 - 2 kg,14 iná,,Paylaüçmlç,,IPS,5.Nesil,10210U,Windows 10 Home,Yok,0,4,2 GHz,1920 x 1080,Var,8 GB,512 GB,Notebook,DÅüÅk
3200 MHz,2 - 4 kg,14 iná,GDDR6,Paylaüçmlç,Dahili Ekran Kartç,LED,5.Nesil,5600H,Yok (Free Dos),Yok,0,4,2 GHz,1920 x 1200,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,2 - 4 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,5.Nesil,5600H,Yok (Free Dos),Yok,0,4,2 GHz,1920 x 1200,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,5.Nesil,5625U,Yok (Free Dos),Yok,1,4,3 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,5.Nesil,5625U,Yok (Free Dos),Yok,1,4,3 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,5.Nesil,5625U,Yok (Free Dos),Yok,1,4,3 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,5.Nesil,5825U,Yok (Free Dos),Yok,1,4,5 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,5.Nesil,5625U,Yok (Free Dos),Yok,0,4,3 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,5.Nesil,5625U,Windows 11 Home,Var,0,4,3 GHz,1920 x 1080,Yok,16 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,5.Nesil,5825U,Windows 11 Home,Yok,0,4,5 GHz,1920 x 1080,Yok,32 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,5.Nesil,5825U,Yok (Free Dos),Var,0,4,5 GHz,1920 x 1080,Yok,24 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,5.Nesil,5825U,Windows 11 Pro,Var,0,4,5 GHz,1920 x 1080,Yok,24 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,5.Nesil,5825U,Windows 11 Home,Yok,0,4,5 GHz,1920 x 1080,Yok,32 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,5.Nesil,5825U,Yok (Free Dos),Var,0,4,5 GHz,1920 x 1080,Yok,24 GB,1 TB,Notebook,DÅüÅk
